15,100,2,Tank 2,UNLEADED B,Shortstop 24,11897.00,108.00,11897.00,11302.26,50.00,10707.41,118.97
15,100,3,Tank 3,PREMIUM,Shortstop 24,11897.00,108.00,11897.00,11302.26,50.00,10707.41,118.97
15,100,4,Tank 4,DIESEL A,Shortstop 24,11897.00,108.00,11897.00,11302.26,50.00,10707.41,237.94
15,100,5,Tank 5,DIESEL B,Shortstop 24,11897.00,108.00,11897.00,11302.26,50.00,10707.41,237.94
16,100,1,Tank 1,UNLEAD,Shortstop 25,7990.00,96.00,7990.00,7590.58,150.00,7191.07,1198.51
16,100,2,Tank 2,UNLEAD,Shortstop 25,6011.00,96.00,6011.00,5710.51,150.00,5409.95,901.66
16,100,3,Tank 3,PREMIUM,Shortstop 25,6011.00,96.00,6011.00,5710.51,500.00,5409.95,120.22
16,100,4,Tank 4,DIESEL,Shortstop 25,15104.00,120.00,15104.00,14348.94,1500.00,13593.74, 
2,100,1,UNLEADED TANK,UNLEADED ,Shortstop 26, ,119.63, , ,50.00,17956.00, 
2,100,2,PREMIUM TANK,PREMIUM,Shortstop 26, ,91.63, , ,50.00,4474.00, 
2,100,3,E-15 TANK,E-15,Shortstop 26, ,91.63, , ,50.00,7016.00, 
2,100,4,DIESEL TANK,DIESEL,Shortstop 26, ,91.63, , ,50.00,10331.00, 
